,Name,Contributions,Location
113,vjeux (Christopher Chedeau),2602,"San Francisco, California"
114,mxcl (Max Howell),2586,"Savannah, GA"
115,domenic (Domenic Denicola),2570,"New York, NY"
116,alex (Alex Gaynor),2556,Washington D.C.
117,mrdoob (Mr.doob),2555,
118,josegonzalez (Jose Diaz-Gonzalez),2516,"New York, NY"
119,fzaninotto (Francois Zaninotto),2507,"Nancy, France"
120,pissang (Yi Shen),2472,"Shanghai, China"
121,jamesmontemagno (James Montemagno),2427,"Seattle, WA"
122,paulcbetts (Paul Betts),2414,San Francisco
123,paulirish (Paul Irish),2412,Palo Alto
124,samdark (Alexander Makarov),2403,Russia
125,madskristensen (Mads Kristensen),2394,"Redmond, WA"
126,sokra (Tobias Koppers),2391,Germany
127,marijnh (Marijn Haverbeke),2378,Berlin
128,alanhamlett (Alan Hamlett),2377,San Francisco
129,wesm (Wes McKinney),2367,"New York, NY"
130,josevalim (José Valim),2361,"Kraków, Poland"
131,jennybc (Jennifer (Jenny) Bryan),2361,"Vancouver, BC, Canada"
132,BurntSushi (Andrew Gallant),2348,"Marlborough, MA"
133,zenorocha (Zeno Rocha),2341,California
134,contra (contra),2333,"New York, NY"
135,jaredhanson (Jared Hanson),2329,"Berkeley, CA"
136,radar (Ryan Bigg),2315,"Melbourne, Australia"
137,bevacqua (Nicolás Bevacqua),2310,https://twitter.com/nzgb
138,xudafeng (xdf),2308,China
139,j2kun (Jeremy Kun),2273,"San Francisco, CA"
140,dominictarr (Dominic Tarr),2259,New Zealand
141,avelino (Avelino),2234,"Roshamuul, Menera"
142,vinta (Vinta),2213,"Taipei, Taiwan"
143,developit (Jason Miller),2199,"Hamilton, Ontario, Canada"
144,ashleygwilliams (ashley williams),2193,NYC
145,ashfurrow (Ash Furrow),2192,New York
146,f (Fatih Kadir Akın),2178,"Istanbul, Turkey"
147,onevcat (Wei Wang),2166,"Kawasaki, Japan/Shanghai, China"
148,toddmotto (Todd Motto),2153,"England, UK"
149,gdi2290 (PatrickJS [tipe.io]),2153,"San Francisco, CA"
150,EisenbergEffect (Rob Eisenberg),2151,
151,ankane (Andrew Kane),2134,"San Francisco, CA"
152,keijiro (Keijiro Takahashi),2128,Japan
153,nolimits4web (Vladimir Kharlampidi),2127,"Rostov-on-Don, Russia"
154,davidfowl (David Fowler),2123,"Bellevue, WA"
155,biezhi (王爵nice),2113,"Shanghai, China"
156,LeaVerou (Lea Verou),2110,"Boston, MA"
157,davidtmiller (David Miller),2110,"Orlando, FL"
158,odersky,2102,
159,vhf (victor felder),2093,Switzerland
160,soffes (Sam Soffes),2083,San Francisco
161,mxstbr (Max Stoiber),2048,"Vienna, Austria"
162,Jinjiang (勾三股四),2038,"Hangzhou, China"
163,happypeter (Peter Wang),2023,微信：happypeter1983
164,yeasy (Baohua Yang),2004,
165,mafintosh (Mathias Buus),2001,"Copenhagen, Denmark"
166,vczh (Zihan Chen),2001,"Seattle, WA, USA"
167,Draveness (Draveness),1963,"Beijing, China"
168,ded (Dustin Diaz),1963,California
169,vladikoff (Vlad Filippov),1958,North America
170,bnoordhuis (Ben Noordhuis),1954,The Netherlands
171,jendewalt (Jen Dewalt),1953,United States
172,jessfraz (Jess Frazelle),1952,PID 1
173,indutny (Fedor Indutny),1946,USA
174,olivergierke (Oliver Gierke),1936,"Dresden, Germany"
175,i5ting (他们叫我狼叔),1929,china beijing
176,laanwj (Wladimir J. van der Laan),1912,"Eindhoven, The Netherlands"
177,drakeet (drakeet),1911,"Hangzhou, China"
178,thejameskyle (James Kyle),1867,Sydney
179,ahmetb (Ahmet Alp Balkan),1866,"Seattle, WA"
180,sdiehl (Stephen Diehl),1865,"Boston, MA"
181,jaywcjlove (小弟调调™),1859,"Shanghai, China"
182,gitster (Junio C Hamano),1859,"Mountain View, CA"
183,djspiewak (Daniel Spiewak),1858,"Boulder, CO"
184,evilsocket (Simone Margaritelli),1846,"Rome, Italy"
185,mariotaku (Mariotaku),1845,"Zhengzhou, Henan, China"
186,shama (Kyle Robinson Young),1833,"Portland, OR"
187,CamDavidsonPilon (Cameron Davidson-Pilon),1830,"Ottawa, Canada"
188,dsyer (Dave Syer),1813,London
189,winterbe (Benjamin Winterberg),1798,"Hanover, Germany"
190,dennybritz (Denny Britz),1785,"Mountain View, CA"
191,arun-gupta (Arun Gupta),1785,"San Jose, CA"
192,maryrosecook (Mary Rose Cook),1776,"London, UK"
193,killme2008 (dennis zhuang),1760,"HangZhou/SuZhou,China"
194,IanLunn (Ian Lunn),1757,"Devon, UK"
195,ruanyf (Ruan YiFeng),1755,"Shanghai, China"
196,binux (Roy Binux),1745,"London, UK"
197,nfultz (Neal Fultz),1731,"Los Angeles, CA"
198,leah (Leah Culver),1728,"San Francisco, CA"
199,suissa (Jean Carlo Nascimento),1726,Curitiba - PR
200,anishathalye (Anish Athalye),1703,"Cambridge, MA"
201,pkrumins (Peter Krumins),1698,SF Bay Area
202,isaacs (isaacs),1698,Oakland CA
203,staltz (André Staltz),1696,"Helsinki, Finland"
204,KittenYang (Qitao Yang),1696,"Shanghai,China"
205,leebyron (Lee Byron),1679,San Francisco
206,fengmk2 (fengmk2),1665,"Hangzhou, China"
207,passy (Pascal Hartig),1660,"London, UK"
